Dates,1,2,3,4,5,6,7,8
1979-07-09,22.682,22.682,22.682,22.682,22.682,22.682,22.682,22.682
1979-07-10,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.03
1979-07-11,23.46,23.46,23.46,23.46,23.46,23.46,23.46,23.46
1979-07-12,21.582,21.582,21.582,21.582,21.582,21.582,21.582,21.582
1979-07-13,21.774,21.774,21.774,21.774,21.774,21.774,21.774,21.774
1979-07-14,22.158,22.158,22.158,22.158,22.158,22.158,22.158,22.158
1979-07-15,22.327,22.327,22.327,22.327,22.327,22.327,22.327,22.327
1979-07-16,21.221,21.221,21.221,21.221,21.221,21.221,21.221,21.221
1979-07-17,20.846,20.846,20.846,20.846,20.846,20.846,20.846,20.846
1979-07-18,20.604,20.604,20.604,20.604,20.604,20.604,20.604,20.604
1979-07-19,21.73,21.73,21.73,21.73,21.73,21.73,21.73,21.73
1979-07-20,22.332,22.332,22.332,22.332,22.332,22.332,22.332,22.332
1979-07-21,22.231,22.231,22.231,22.231,22.231,22.231,22.231,22.231
1979-07-22,22.216,22.216,22.216,22.216,22.216,22.216,22.216,22.216
1979-07-23,22.017,22.017,22.017,22.017,22.017,22.017,22.017,22.017
1979-07-24,22.307,22.307,22.307,22.307,22.307,22.307,22.307,22.307
1979-07-25,22.627,22.627,22.627,22.627,22.627,22.627,22.627,22.627
1979-07-26,22.42,22.42,22.42,22.42,22.42,22.42,22.42,22.42
1979-07-27,22.364,22.364,22.364,22.364,22.364,22.364,22.364,22.364
1979-07-28,24.032,24.032,24.032,24.032,24.032,24.032,24.032,24.032
1979-07-29,24.525,24.525,24.525,24.525,24.525,24.525,24.525,24.525
1979-07-30,23.863,23.863,23.863,23.863,23.863,23.863,23.863,23.863
1979-07-31,22.541,22.541,22.541,22.541,22.541,22.541,22.541,22.541
1979-08-01,21.936,21.936,21.936,21.936,21.936,21.936,21.936,21.936
1979-08-02,22.904,22.904,22.904,22.904,22.904,22.904,22.904,22.904
1979-08-03,22.863,22.863,22.863,22.863,22.863,22.863,22.863,22.863
1979-08-04,21.744,21.744,21.744,21.744,21.744,21.744,21.744,21.744
1979-08-05,22.216,22.216,22.216,22.216,22.216,22.216,22.216,22.216
1979-08-06,23.776,23.776,23.776,23.776,23.776,23.776,23.776,23.776
1979-08-07,22.903,22.903,22.903,22.903,22.903,22.903,22.903,22.903
1979-08-08,23.538,23.538,23.538,23.538,23.538,23.538,23.538,23.538
1979-08-09,24.127,24.127,24.127,24.127,24.127,24.127,24.127,24.127
1979-08-10,23.654,23.654,23.654,23.654,23.654,23.654,23.654,23.654
1979-08-11,24.507,24.507,24.507,24.507,24.507,24.507,24.507,24.507
1979-08-12,24.434,24.434,24.434,24.434,24.434,24.434,24.434,24.434
1979-08-13,24.057,24.057,24.057,24.057,24.057,24.057,24.057,24.057
1979-08-14,24.046,24.046,24.046,24.046,24.046,24.046,24.046,24.046
1979-08-15,22.428,22.428,22.428,22.428,22.428,22.428,22.428,22.428
1979-08-16,22.654,22.654,22.654,22.654,22.654,22.654,22.654,22.654
1979-08-17,22.557,22.557,22.557,22.557,22.557,22.557,22.557,22.557
1979-08-18,21.809,21.809,21.809,21.809,21.809,21.809,21.809,21.809
1979-08-19,21.992,21.992,21.992,21.992,21.992,21.992,21.992,21.992
1979-08-20,21.656,21.656,21.656,21.656,21.656,21.656,21.656,21.656
1979-08-21,21.934,21.934,21.934,21.934,21.934,21.934,21.934,21.934
1979-08-22,22.12,22.12,22.12,22.12,22.12,22.12,22.12,22.12
1979-08-23,22.097,22.097,22.097,22.097,22.097,22.097,22.097,22.097
1979-08-24,21.462,21.462,21.462,21.462,21.462,21.462,21.462,21.462
1979-08-25,20.954,20.954,20.954,20.954,20.954,20.954,20.954,20.954
1979-08-26,20.918,20.918,20.918,20.918,20.918,20.918,20.918,20.918
1979-08-27,25.408,25.408,25.408,25.408,25.408,25.408,25.408,25.408
1979-08-28,21.866,21.866,21.866,21.866,21.866,21.866,21.866,21.866
1979-08-29,21.864,21.864,21.864,21.864,21.864,21.864,21.864,21.864
1979-08-30,21.55,21.55,21.55,21.55,21.55,21.55,21.55,21.55
1979-08-31,21.297,21.297,21.297,21.297,21.297,21.297,21.297,21.297
1979-09-01,20.655,20.655,20.655,20.655,20.655,20.655,20.655,20.655
1979-09-02,20.84,20.84,20.84,20.84,20.84,20.84,20.84,20.84
1979-09-03,20.787,20.787,20.787,20.787,20.787,20.787,20.787,20.787
1979-09-04,21.253,21.253,21.253,21.253,21.253,21.253,21.253,21.253
1979-09-05,21.798,21.798,21.798,21.798,21.798,21.798,21.798,21.798
1979-09-06,21.46,21.46,21.46,21.46,21.46,21.46,21.46,21.46
